id,uid,title,score,date,content,,
,,A must see!,5,,This beautiful garden made up of hundreds of acres is a must see for any visitor or local! Special over the next month is the tulip festival! One of the most beautiful displays of flowers in the world! Don鈥檛 miss it!,,
,,Nice concept.,4,,The man-made trees are very beautiful and eco-friendly. Everyday @ 7:45 the light and music show happens in this place.,,
,,great for a quick day trip,4,,"in middle of city, if it's your first time to Singapore, its one of the must. It's manmade tho, but you can go to flower dome and cloud dome which is nice relief from city rush!",,
,,Not To Be Missed,5,,"Super Tree light show is amazing. Everyone we show video to is stunned. Cloud Forest is truly unique and so much to see it's hard not to miss something. We took MRT from our Chinatown hotel to directly across from the park and there are walkways so traffic is not an issue. Plan for a full day to include the grounds, conservatories and light show. Food and drink trucks are about the grounds and especially for the show. Pick your seat early and enjoy the crowd. It does fill up for the show. I'd allow at least a couple of hours for the Cloud Forest -- neat stuff tucked away everywhere.",,
,,Amazing,5,,A must to see when visiting Singapore especially at night.Allow at least 2 to 3 hours when visiting Gardens by the Bay finishing with the night lights,,
,,Must watch it,4,,We had a nice enjoyment of watching different kinds of plants n flowers. We went for ocbc skywalk. We booked tickets through online so that we got some offers n saved some dollars.,,
,,Extraordinary,5,,"We were just amazed by the Gardens by the Bay. Singapore has created a beautiful, vertical green space for all to enjoy. This area even generates revenue from people who 鈥渨alk among the trees鈥?

The views from the walkways are truly beautiful and we will never forget this incredible experience.",,
,,AMAZING!!!,5,,I absolutely loved the gardens by the bay! It is so so so beautiful. I have traveled a good amount and it is one of my favorite things I have ever seen. There is a light show on the water by the mall and it was stunning! The mall is gorgeous. The city as a whole is unbelievably clean and the people are extremely nice!,,
,,A great way to spend the afternoon,5,,This is a very relaxing and wonderful place to spend an afternoon and early evening visiting. Why so late you may ask? Well there is a amazing light show centred on the 'super trees' in the gardens that is well worth staying around for. The domes have an amazing array of plants and flowers even for a non-gardener like me.,,
,,Wow-Nuts place!,5,,"What crazy person dreamt this up? You really have to see this place at night. The light shows are fun, though the music choice is a bit hokey. But just seeing these giant trees lit up is spectacular. Looks like something out of an alien planet in Star Trek. Highly recommended.",,
,,"Banal, ostentatious",2,,"Made the long-ish trip to Gardens by the Bay at the end of the day, just before the light show was set to begin. It's a bit ridiculous to be honest, just giant metal scaffolds shaped like trees that light up to songs. It's a like a Vegas attraction. The show I saw was called Journey through Asia, and they played four Chinese songs and one Indian song, so I suppose Japan, Thailand, etc., don't exist for the purposes of this absurd attraction. If you are staying in the area, check it out I suppose, but the Botanical gardens are far more interesting. Three stars of five because there really isn't much to do in Singapore in general, and it appears to have been expensive to construct. This would be one star if it was in Tokyo",,
,,An amazing location. Almost like you are in the movie Avatar,5,,"Lots to see and do here. Amazing architecture as well as flora to see.

Lots of walks, gardens, sculptures, eateries, buses, bikes and general fun to be had here.

Night or day there is plenty of people and it is an easy walk from the bay marina shopping centre.",,
,,Must Visit,5,,"This is a must do when you visit Singapore. It's fantastic during the day with all the things to see and do but magically transforms at night to something spectacular. I have visited every time we have been to Singapore.

Its great that Singapore had the foresight to retain this land and transform it into the tourist attraction that it is.

If you want something to eat walk across to nearby Satay by the Bay for a value for money feed.",,
,,Great place to go,5,,"This is a must go when in Singapore. The gardens are free to enter but you have to pay for the 2 pavilions but they are worth it. The variety, the colours, the layout is fantastic. There are many places to eat also including satay by the bay which is definitely worth to go to.",,
,,Excellent Experience,5,,What an amazing experience...a must do attraction. Make sure you have plenty of time to go through the two domes before viewing the light show in the gardens at night. This was definitely a highlight of Singapore. We were there when the tulips display was on....simply amazing.,,
,,Enchantig trip,5,,"This was one of the hightlights of our trip. Walking through the gardens was such an experience. Even though there were lots of people, it really was well managed. All ages really found something to admire here.",,
,,Fantastic and Amazing,5,,"My husband and I visited recently and the Cherry Blossom was in full bloom which was an added attraction to this already amazing place.

The variety of plants is enormous and I have no idea how plants from all different climates can coexist in a single temperature controlled environment.

If you only see one thing in Singapore I recommend you visit Gardens by the Bay.",,
,,fell in love with the sakura,5,,it was a Sunday afternoon when we went there and the place was jampacked with people. We could hardly have a decent picture inside but i fell in love seeing the Cherry Blossoms. AC was still good even if there were so much people inside. A must place to visit when in Singapore.,,
,,Fun day at Gardens by the Bay,4,,"I went solo for this activity. Great way to spend a couple of hours. A lot to see, take pictures, and take in all the beauty of nature. Recommended solo, couples, family.",,
,,Exquisite and unique gardens,5,,Singapore has created a mustsee attraction on this reclaimed land. While the design is wonderful the two climate controlled domes and supertrees make this Garden unique. Do not miss this one.,,
,,Beautiful place to visit,5,,What a delightful place to explore. Well cared for and manicured gardens with plenty to do. We walked around at 10.30pm at night and felt perfectly safe. Captured some amazing photos too.,,
,,Pure paradise and naughty cactuses,5,,"Went in because it started raining and what great decision it was.
We really enjoyed it, a botanical garden is not smth I do regularly.
An hour is enough to cover it, unless you decided to stop at the Pollen cafe inside for a great organic coffee and excellent deserts. They don鈥檛 have lactose-free and gluten-free options btw.",,
,,Lovely place to visit,5,,What a lovely place to go for a walk and enjoy the creativity of the garden designers. Next time will definitely return for a night visit to see the light show.,,
,,"Leisurely, three days required to see the gardens",4,,"The Gardens can be explored in a day if you are not travelling with senior citizens or children and if you are selective of which gardens you want to see.

We spent 1.5 days, and it wasn't enough time. On the first day, we had friends drop us off at the front main entrance (drop off/pick-up for taxis, coaches, etc) and we explored the main attractions - Flower Dome and the Cloud Forest for a fee. If you don't like cool/chilly air, bring a cardigan.

On the second day we arrived by the back entrance - by train to Bayfront MRT station - then a 10-minute walk to the Gardens by the Bay transit hub. From here, you can walk (about 10-15 minutes) or take a S$3/pax shuttle (unlimited, all day) ride to Flower Dome/Cloud Forest.

We bought tickets for the Audio shuttle tour (includes complimentary shuttle in, but return you have to either walk it or pay $3 for the shuttle back to the transit hub) for an overview of the gardens, which is a great introduction to how extensive and different the gardens are and should be the first thing to do (we opted to do this on the second day).

The night light and sound show at the Supergrove trees is 15 minutes long and you should be seated facing the tallest of the trees (where there is a rooftop bar at the top). The Skyway was closed because of weather, so we ended up paying S$12/pax for a soft drink and access to the rooftop bar (Level 16) for the view before going down to see the light show.

After the light show, there is an exodus of people. The taxi queue was very long (looking at a one-hour wait), so use a ride-hailing app (no queue for this). We waited about 15 minutes, the driver had to navigate through a traffic jam to reach us (where cars drop-off passengers).",,
,,maybe not for you if you are from Europe...,3,,Many of the plants on 'display' or from European and/or Western Regions and consequently the temperature in the facility is a bit chill (be aware when going in with little children),,
,,Lovely,5,,"Great time strolling around, with our two young children in strollers. Lifts/ramps make everything accessible. At first it was raining but even then it was lovely. Cloud forest was really interesting and the tulip exhibition and flower dome was really cool. Great way to spend a couple hours or so.",,
,,Amazing light display. Could have sat there all night.,5,,"The gardens were absolutely beautiful. So clean/no litter anywhere to be seen. I did not enter any of the facilities but went to super tree grove . I went up to one of the tree-top bars which had an entrance fee but this included a drink and the views were beautiful.
The light show was amazing. There were so many people seated to watch and the atmosphere was so good. Would definitely recommend a visit - the light show is also free admission!!",,
,,If you see one thing in Singapore- make it Gardens by the Bay!,5,,"Gardens by the bay is a huge, beautiful garden situated near Marina Bay. The garden features large structures known as 'Supertrees' as a focal point, and also 2 large domes known as the 'flower dome' and 'cloud forest' which you can visit for a fee. The gardens themselves are free to enter and walk around, and would have to be one of the top free attractions in Singapore. I highly reccomend walking from Marina Bay Sands Hotel on the beautiful elevated walkway towards the gardens- you will have an amazing photo oppurtunity! Hot tip- Check out Gardens by the bay in the mid to late afternoon, then stick around for the sound and light show in the evening. If you plan to do the 2 x Domes make sure you allow at LEAST 1 hr per dome. The cloud forest in particular is not a quick visit! I also recommend doing the skyway (an elevated skywalk between some of the supertrees) as you will get another amazing photo opportunity and one of the best views in Singapore!",,
,,Amazing place,5,,Wander round these amazing gardens and tree structures. Be sure to stay for the light show at 7.45pm - stunning.,,
,,Light show,3,,"We went to Gardens by the Bay twice in the evenings. There is a nice atmosphere during the light show, but the show itself is nothing special. The first time we went was quite late in the evening and we almost had the place to ourselves which was great as you can go at your own pace without it being packed. Worth seeing once if you're visiting Singapore for the first time.",,
,,Wow and amazing !!,5,,"All the reviews are right...this is an amazing place and a must see when in Singapore. Beautiful gardens manicured to perfection. Great light in evening, ww visited in evening and again during the day",,
,,Beautiful only at night,3,,"It鈥檚 a photographers dream to come here, come at night as it鈥檚 really beautiful to look at. It鈥檚 a small walk but worth it.",,
,,Fantastic,5,,I visited with my young family (18m & 4y old kids) very accessible with a buggy and staff all really helpful. Very well thought out. Although it seemed busy I didn't feel like I was jostling for space.,,
,,Cherry Blossoms in Singapore!,4,,Went to the Flower Dome during the Cherry Blossom festival. It was beautiful. Loved walking through the various regions and observing the different flowers and plants of the region.,,
,,They know how to make the city better,5,,The best time to see the place is the late afternoon when the facilities are still open and the evening when the flashing installations create a unique 鈥淎vatar-like鈥?experience.,,
,,Amazing,5,,"Thoroughly enjoyable experience. The Cloud Forest was amazing, the orchids etc were just beautiful. The Flower Dome was also very good. We walked around in all the gardens and were lucky enough to see a family of otters in Lilypad Lake. Had breakfast in Cafe Crema which was nice if a little limited. Would definitely recommend this to any visitors",,
,,That good we got engaged there.,5,,"This is one of the must see features in Singapore, it was ten years since I last visited Singapore and there was a completely new feature, and with all things Singapore, it was beautifully designed, impeccably clean, full of great features, excellent facilities and of course beautiful gardens.
We visited day and night, and at both times the place was equally stunning. However it was the nighttime where I believe it comes alive with energy. The cloud forest and botanical gardens and sympathetically lit to highlight the wonder features an plants inside. The Cloud forest in particular is spectacular with its waterfall and skywalks.
Satay by the Bay is an excellent Hawker stall conveniently situated at the end of the gardens provides excellent street food at reasonable prices, and is the cheaper of the eateries.
The Supertrees are wonderful to see, and beautifully lit, with a free music show around 8:00 and 9:00 pm on the weekend evenings, which is worth a visit.
All in all, this is a fantastic and must visit attraction.",,
,,Amazing place to see,5,,"If your in the city, it鈥檚 a must-do visit. Stunning design & thoughtful touches ensure a great experience, well worth the short walk in the humid air to get to the Forrest & flower domes.",,
,,cloud forest,5,,"wow! a real paradise on earth , how an artificial man made forest can be created , mind blowing to see, nice flowers , flora and fauna , superb tallest man made waterfall , really amazing , recommend to atleast spare 6-8 hrs to see the whole garden by the bays, can also take OFO cycle , must download the OFO app nd can leave cycle anywhere in singapore",,
,,Gardeners heaven,5,,"We had limited time in Singapore however found most of it spent here, great for all ages. So much to see and do. the colours, variety and themes something for everyone.",,
,,Great experience,5,,Biomes were excellent and well worth the entrance fee. The rest of the gardens were great and free. The sound and light show in the Supertree Grove was worth making a special visit for. Dining experience not bad and reasonably priced.,,
,,Amazing,5,,Definitely worth going to see 馃憣 more countries need to take not of this it was so beautiful 馃槏 we were amazed by the beauty of gardens by the bay,,
,,Beautiful,5,,All of Singapore was beautiful but the Bay Gardens were enormous. The only disappointing part was the amount of tourists that didn't think about who they were backing into when they wanted to take photographs or their ignorance of leaving a pushchair in the middle of the walkway. We went at off peak time but there were still hundreds of people there.,,
,,One of the best example of Green technology and Sustainability,5,,The flower dome and Cloud forest both are worth a visit when there. The entire garden can be visited both during day and night time as both the times have their own charm. The light and sound show at the super grove trees are worth a visit. I visited this place twice during my stay. Its beautiful and worth a flatter. Easily accessible place by MRT.,,
,,Breathtaking and Futuristic,5,,"This is the science fiction future we saw as children in the 1980's. An Oasis of calm in an urban setting. While both sections are attractive, I'd have to consider the aerial waterfall as the highlight of the attraction, particularly with the sense of a change in climate. You go from the humidity of outdoors Singapore to a European Springtime day.

It is'nt cheap, thats the only thing I'll say against it, but then, it is Singapore, its never had a cheap reputation, and what it does right it gets right.",,
,,Flower Dome/Cloud Forest,5,,Visited both attractions on April with my mom. She was astounded with the sheer variety of flower and plants in the display. The dome was very cold so you may need to bring jacket.,,
,,Beautiful,5,,"Such a nice garden with lots of flora and fauna, and water bodies. To me this is one of the best attractions in Singapore. My mind found peace and serenity here.",,
,,"Sustainability, Nature and Technology",5,,"Gardens by the Bay is a perfect day out with family and friends. For children and adults an immersion into the main topics that concern the human being nowadays: global warming, nature, energy among others.
I recommend the visit in the afternoon so you can finish the day watching the lights show in the evening.",,
,,Simply amazing!,5,,Gardens By The Bay was spectacular! Truly unmissable and definitely a must-see if you鈥檙e visiting Singapore.,,
,,Great if you love botany,5,,"This is like the younger, newer cousin to our Botanic Gardens - you'll find all sorts of exotic plants here and learn loads as well, plus there are air-conditioned areas that you can enter when the heat becomes a little too much for you.
The Flower Dome frequently has themed events, such as the sakura festival between the March-April period, and it's really worth having a look inside.
The Cloud Forest remains my favourite, though - as you walk in you'll be greeted by a thundering waterfall (man-made, if you need specifics), and as you make your way upwards through this ""forest"" you'll encounter all sorts of rainforest plants.",,
,,Visiting of DOME,5,,"Cool tempreature and nice enviroment. Nice sakura flowers display, abit crowded. Good to have few more benches around.",,
,,A must to visit,5,,Well worth a visit here. It was a stinking hot day but so pleased we went. There is a shuttle service that takes you around the gardens with a tour. We did not do this but in hindsight we should of...it鈥檚 a lot of walking on a hot day. I am not into gardens at the best of times but this one is not to be missed if you are visiting Singapore.,,
,,Spring Sakura,5,,"overall experience is good with many range of flower breed , nice environment Will expect more different theme in future",,
,,Tulips exibition,5,,surprise me that day ... Having maroon black tulips on this year. having the colorful explore day. REMEMBER THE SLEEPING LADY BLING BLING EYES!!!,,
,,Incredible Views!,4,,"Recently visited Gardens by the Bay and was blown away by the gardens, especially Cloud Forest! The different selected plantings & displays were very impressive & I would highly recommend purchasing the ticket for the cloud forest & the super tree sky walk. Unfortunately the flower garden was closed during my visit. The light/sound show of the super trees at night was also very enjoyable. Great spot for anyone visiting Singapore, particularly families & couples.",,
,,Sakura Matsuri,4,,Enjoyed the display of the sakura and activities held in conjunction w the display at gardens by the bay.,,
,,Unbelievable,5,,"The two domes are very worthwhile a visit, especially for those of us intent on saving our planet. The Cloud Dome goes up 7 stories to display the different climatic zones.",,
,,Not to be missed,5,,"Fantastic area with two Biomes housing Rainforsest and Mediteranian plants. There was a special Cherry Blossom exhibition in April when we were there. The walkway through the Super Trees is a must, as is a visit to the sky deck of the Marina Bay Sands hotel nearby.",,
,,Comes alive with colours at night,5,,"If you鈥檙e ever in the area at night, drop by to visit the stunning garden brightly lit at night. It鈥檚 completely free and you get to enjoy the cool breeze while you take in their light shows every hour or so.

Of course, the trip won鈥檛 be completed without a visit to the flower dome or cloud forest but this is the best place to be at night!",,
,,Great place for flower lovers and family,5,,"It's worthy spending a day in this garden especially for flower lovers and family travellers.
There are so many different species of flowers and plants that you may have never seen or even heard of. The orchid is really beautiful and gorgeous. The souvenir shop offers tons of good gifts for bringing home for friends and family. A must for visitors to Singapore !",,
,,Light show.,5,,"We saw a light show that was based on all classic movies. Really chilled out, everyone lies on the floor and theres loads of space. Definitely have to see in the day and during the night.",,
,,Magnificent,5,,Absolute must. Stunning lazer and music display at night. Eat at one of the many cheap restaurants attached to the side,,
,,Really Stunning,5,,I had heard this was a lovely place to visit and was not disappointed it had so much to see and do. Amazed it is free to see most of the things. You can pay a small amount for a tour which we did as it鈥檚 a big place and it was very hot.,,
,,Excellent,5,,Well worth visit. A dusk visit when the sun falls and the lights go on is a must. Worth paying S$23 to go up the sky deck to watch the lights go on in the garden and all over Singapore,,
,,total experience,5,,I never thought that i would see and experience a wonderful place like this. Be sure to visit the flower dome and the cloud forest as well. Beautiful flowers await you inside the dome. Grab every opportunity to take a selfie with the amazing view. The cloud dome would give you a sure thrill to your spine. Bring out your sweaters and you're ready to chill.,,
,,Light show and garden domes,5,,An outstanding light show at the Gardens and the garden domes are simply magnificent - so worth a visit,,
,,Beauty Within,5,,"Be ready for a mind blowing beautiful, colourful, unique, state of the arts , gorgeous and melodious flowers of the world.

I was amazed by the magical creatures, one that I have never seen in my life.

You must visit to experience it. You will never be dissappointed.",,
,,nice place,5,,Enjoy the visit. Full masti with some friends from Singapore. Will visit again. Best time of my life enjoy full.,,
,,Lovely wander under lights,4,,Beautiful stroll around the gardens and associated light show. Recommend heading just before sunset to see the best of both sides of the gardens,,
,,Loved it!,5,,"On previous visits to Singapore we had been to the Flower Dome and Cloud Forest and thought they were absolutely incredible. This time, however, we wanted to go to the Gardens by the Bay to see the ""Supertrees"" light show in the evening. Wow! It was just so beautiful and was done so well with the music. Something everyone should go and see!!",,
,,Must See,5,,A must see attraction day and night for any stay in Singapore. The free light show in the evening is spectacular.,,
,,Our time in Singapore,5,,Our guide was from buffalo tours .we used them for all our tours in Singapore. Lovely dinner and guided tour of the gardens ..we toured at our own pace and were able to enjoy all the areas of interest,,
,,Unique experience,5,,"This is a glorious place and free! We spent all afternoon here including the domes (which you pay for) and still didn't get round it all. Don't miss the supertrees and the monster huge goldfish pond at the very edge of the park. It does get very hot so a hat and water are a must. I would also recommend a small towel as you will be soaked with sweat! Still, totally worth it. Not like any park I have ever seen and certainly an experience I will never forget.
If on a cruise you can walk from the closest port. I think it's called the Bay Terminal. It takes about 20-30 minutes. There are loads of free, clean toilets all around the park too.",,
,,Cycling with 4-7year old kids,4,,"Gardens by the bay has a path for cyclist and skate smoothers. You get to cycle all the way to MBS too, or towards ford road to the indoor stadium. It was an awesomely fun outing with wonderful scenery. Goodbye to cycling in Bishan Park or east coast park!",,
,,Stunning Attraction,4,,"Loads to see in this great attraction, we visited the flower dome, cloud forest and took the audio tour. Loads to do and see and the audio tour is a great way to get your bearings (would be even better, if it was hop on, hop off). Don't miss an opportunity to visit the suspect trees, which are fabulous.",,
,,Wow!,5,,This place was in my must do list whilst holidaying in Singapore with my family. It was fantastic! Definitely worth staying for the light show at night!,,
,,Loved the ambiance,5,,The whole set up is very ascetically pleasing to the eye. Easily spent 4 hours here. We went up to the restaurant where the views were pretty good and the aircon was cool.,,
,,Christmas special,4,,"We toured the gardens on a Sunday afternoon into the evening just before Christmas with special tickets for the celebrations. Very hot and alot to see, even some snow fell for the children.",,
,,A lot of seeing,5,,This is a very nice place to see. You鈥檒l see all the flowers and trees from different paras of the globe. Big trees must be seen and better in the evening when it鈥檚 dark. What a wonderful light- and musicshow.,,
,,Super,5,,It's a must. Don't miss the show in the evening. All that area is amazing and you should find time to visit ir,,
,,Holidays,4,,More spectacular by night where all the lights are on. There is a food court and restaurants. Marina bay is at a walking distance.,,
,,Beautiful,4,,We visited for my 40th birthday and was very disappointed I didn鈥檛 realise the flower dome was closed for maintenance as I didn鈥檛 see anything in the web page. The cloud dome was absolutely breathtaking though and made for an enjoyable few hours viewing,,
,,Garden of the Bay,5,,"I took some Russian visitors to garden of the bay as it was too hot for them in Singapore. There are 2 air- conditioned domes which house beautiful flowers ( based on seasons) and plants.

The view is fantastic as well. U get to see marina bay sand hotel. It is a nice walk around garden of the bay in the evening.",,
,,$3 SHUTTLE SERVICE very Rude and unpleasant staffs,1,,"I suggest you to never pay for $3 SHUTTLE SERVICE

Me and my family went there on 3rd of April 2018. As my dad is an eldery and had some leg pain I purchased 4 tickets of $3 SHUTTLE SERVICE for whole day service. However, I am very unhappy with their rude staffs.

Besides the staff treating us so badly.
at 8:58 pm when the last light show at super trees finishes. I ran to get the buggy for my dad to take. However the supervisor said we cant wait for your dad even though he is old and his leg pain. Ask us to walk back!!

The buggy left at 8:59 pm as the supervisor instruct the driver to dont wait even though he could see my dad walking towards us with difficulty.

I am so disappointed and hurt.

For those who think they managing this please keep in mind that they need to schedule their buggy during the times that people NEED IT.
last buggy at 9 pm doesnt make sense when your stupid super tree show ends at 8:58 pm.

Please understand for people who force to take this horrible service it is because they have health issue or they are old in age.

Such a stupid management and ground staff.",,
,,Fantastic gardens.,5,,"This ""glasshouse"" is an eye opener! From the moment you walk in there are so many individual areas of interest with agrdens with different themes, not omnly plantings but statues etc. We were lucking as there was a large exhibition of Japanese themed garden. Don't expect to spend less than 2 hours here.",,
,,Amazing place not to be missed,5,,Not enough space to write all the good things about this place. If you only have a day in Singapore make sure this is on your not negotiable list.,,
,,Captivating View of Nature,5,,"Visiting the place was memorable, thou there was a long queue you won't be bored since there was a lot of picture perfect view of Flora. The architecture is amazing, with such a small area they were able to put a lot. Don't forget to visit the place when you go to Singapore.",,
,,Gardens by the bay,5,,"WOW - this was way better than I expected. Went to these gardens over 2 days, early one morning for the observatories and at night time for the light show. Spectacular and captivating, we all loved this masterpiece (the light show). The observatories were wonderful as well and the thought process that Singapore shows in recycling is amazing. You can鈥檛 visit Singapore without visiting these gardens, it was one of my favourite places",,
,,Beautifully presented,5,,Brought my friends from Switzerland there. My friends were absolutely delighted and impressed with what there saw. Absolutely worth a visit.,,
,,cloud and flower dome,5,,The cloud dome was fantastic plan to spend at least a couple of hours if you want to take everything in. The flower dome was also amazingly beautiful but so cold that we had to leave before we could really get to see it properly. So a reminder to take something warm if you do not like things too cold and it really was cold. Wandering the gardens was peaceful and are kept so well. If one has time they could spend at least half a day or even all day. They have a nice Dim Sum restaurant just the other side of the Flower Dome. Reasonable for Singapore.,,
,,Out of this World!!!!,5,,"Gardens by the Bay is an amazingly beautiful park. Words cannot fully express how magical this place is, particularly at night when they do the light show. This is truly a must see when in Singapore.",,
,,Beautiful Gardens. Buy combo ticket,5,,"We visited the Cloud and Flower Domes. Both are very beautiful, but very different. The Cloud dome reminds me of Pangea in the movie Avatar. It鈥檚 unique. The Flower Dome has meticulous blooming gardens with sculptures that make unlike other botanical gardens. The combination ticket was only 20 SD by showing Singapore Air airline ticket. Lovely way to spend a day. Enjoyable and relaxing.",,
,,Loved it,5,,We hadn't been to Singapore for about 15 years so this was all a surprise to us. We spent a full day here and were blown away. The only downside for us was that there were so many people - probably our fault for going at a weekend and for Chinese New Year. We especially loved the Cloud Forest.,,
,,Well worth a visit,4,,"Beautiful attraction to visit, especially if the weather isn't great, flower dome was fabulous, wouldnt hesitate to return. You need a good day here to see everything.",,
,,Exceptional place to visit,5,,"This has to be the highlight of our Singapore visit. The gardens and greenhouses are extraordinary. The flowers, plants and trees come from all over the world and are exquisite in colour and design. The show trees outside are a wonder and each corner you turned was another wonder to the eye. The gardens are free but there is a well worth cost for the greenhouses. We wish we鈥檇 had the time to visit this attraction at night as we鈥檇 seen it from afar and it looked amazing. These gardens are the best we鈥檝e ever visited and a must for all those that visit the beautiful city of Singapore.",,
,,Paradise created,5,,"Gardens by the bay is an artificially created garden by Singapore and is marvelous masterpiece showing the excellence the Singaporeans are capable of producing. Singapore is without any doubt setting standards for the world to emulate. The garden is conveniently located and accessible by all meas of transport available. The garden is overlooked by marina bay sands hotel. Visit to garden can be planned with Skypark, Merlion Park and other attractions in the vicinity. The garden consists of artificial supertrees which are lighted in the evening. There are two domes - Flower Dome and Cloud dome. While there is no fee for entering garden however you need to buy tickets for these two domes. While Flower dome has wide variety of flowers from all over the world makinf you feel in an eternal spring the cloud dome creates environs of various altitude and geographic diversity. You should be prep to do a lot of walking and a shuttle service is available at a price from entry to the gardens to the dome and back. It will take around three to four hours if you want to visit both the domes. In the evening a light and sound show is organised in the supertree zone. it is recommended to come around 4 in the evening to fully enjoy the garden, domes and light show to culminate. The Singapore sky is awesome in the evening which can be appreciated while returning from the gardens.",,
,,Simply stunning,5,,"We called in here whilst spending an afternoon in the city, ahead of our evening flight. Such a beautiful oasis in the heart of the city.",,
,,Stunning gardens,5,,"The outdoor gardens are free and cover an extensive area so one can spend as little or as long as you have available. We arrived via the MRT Bayfront station. There are many different sections featuring trees and plants of different types or climates. The section with animals, including a fruit bat and orangutan, sculpted in topiary was a highlight as were the imposing man-made supertrees climbing 25 metres high.
No visit to the gardens is however complete without paying the S$28 entrance to the two vast conservatories. We spent an hour in each with the air conditioning making them a great respite from the relentless heat and humidity outside. The plants and flowers were simply stunning and vast number of photos were taken.
For a further S$8, we ascended the skyway, which runs 25m high between a couple of the supertrees, for high level views of the gardens and the city skyline.
In all, we spent well over 4 hours here and would have been there longer if it wasn't for the intense heat.",,
,,Beautiful,4,,A lovely attraction near marina bay. Reasonably priced . We were lucky and lots of flowers were in their prime. A few hours spent here along with the skywalk. Loved the metal lit up trees.,,
,,Great free attraction,5,,"Wonderful place to take a young family, loads to do. The children's water park was awesome and all free.",,
,,Wow - What a great place to be,5,,We can't imagine such a great place in the US. It is one of the best gardens in the world and most of it is free. We spent two days exploring it. Don't miss the sound and light show at the bay which I think is done two or more times a night. There is also a garden for kids my young kids enjoyed the time there. This place in Singapore is simply the best!,,
,,worth the money,5,,"make sure you watch the light show at 7.45 or 8.45 pm, before that you can spend the time in cloud forest and flower dome. the flower dome is very crowded and feels messy, the cloud forest is way better then the flower dome.",,
,,Simply excellent - worth spend an entire day,5,,"This place is simply excellent - definitely worth the ticket prices for the 2 indoor ones - looking back, if anything, I would allocate myself more time at this place - definitely a lot to see and learn!",,
,,Worth a visit,5,,"Great, if you love greenery, and we do! We didn't spend ages here, maybe just an hour, but that was perfect.",,
,,"Tranquil, relaxed, worth the visit",4,,"We enjoyed wandering around the gardens without visiting the indoor paid sections. It can be hot and tiring but there are plenty of places to rest in the shade and take in a leafy view. Very well maintained, as you would expect in Singapore, and popular, it is a must see attraction.
We watched the evening light show which is also worth seeing. The lit-up giant trees, combined with music offer a different dimension of attraction.",,
,,Beautiful,5,,"The gardens by the bay was a lovely place to go to. It has 2 big domes or greenhouses that each contain their own wonders: one of them contained ""the cloud forest"" which is a huge structure covered in a vast array of vegetation and flowers, it also houses the world's largest indoor waterfall. The other dome is the ""flower dome"" which was full of a huge range of flowers from all over the world, however it was extremely busy and was quite difficult to enjoy all of it while trying to manoeuvre your way around many people, but that shows how popular it is.
You also have the Supertree grove which is a number of huge structures meant to look like trees, they're very pretty and at night they do a light show with the trees which is amazing.",,
,,Come Ready to Walk...in a crowd,5,,"By all means come to this amazing space and just enjoy the wonder of it all. Wear your very most comfortable walking shoes, pack some snacks (or eat at one of the cafes) and just explore it. It's a glorious space. It gets VERY crowded so try to arrive very early or go in the evening when it's less hectic.",,
,,Night Lights were fantastic,5,,Recommend viewing Gardens by the Bay both in the daytime and at night to view the symphony lights it is well worth seeing,,
,,Garden,5,,Awww.. awsome place ever seen by my eyes. Nature conserved and protected nd decorated very nicely. Natures love and beauty is seen at one place and under one roof,,
,,Must do !,5,,"Nice short light shows several times every night (free access), allocate 15minutes to walk from the MRT to the show location. Could forest is a bit pricey yet 100% worth the visit!",,
,,Tiring but fun,5,,"We've had to walk for the whole day which was tiring, but it was also a fun experience because we got to see a lot of different types of plants, flowers, and trees.",,
,,Just amazing - there are no words!,5,,"Mouths open wide in awe the whole time, AMAZING! The cloud forest topped it for us, incredible. Kids took heaps of photos too. Pollen cafe not great though - food was way over priced!",,
,,Beautiful by day and night,5,,We visited during the day and at night. Watching the light show at the supergrove was just beautiful (shows at 7:45pm and 8:45pm). Easiest way to get there is catch the MRT to Bayfront station underneath Marina bay and walked to gardens from there,,
,,Outstanding,5,,"A must do on your visit to Singapore. We spent 7 hours here and it was incredible.

We did the buggy tour which was $8 adults and $3 child and took around 20 minutes. Well worth it and saved our legs as it takes you around it all with commentary.

Admittedly our 9 year old did play in the Children鈥檚 garden as they have an adventure course and a water play area to cool off. Cafe there served fried food so we avoided it. We did eat at the restaurant in the Flower dome (forgetting name sorry) and it was very good a lot of the tables were booked so we had coffee and cake at the bar. Wonderful freshly squeezed juices so do try one.

We started off in the flower dome and the tulip display is spectacular. There is some wonderful theatre for children with sleeping giants amongst the tulips whose eyes open and shut! Magical.

Next was the other dome with the most amazing waterfall. Again spectacular and the flora stunning.

Both domes are air conditioned so a wonderful respite from the heat. This place is incredible and well worth the visit.",,
,,Superb!,5,,A must place to go when in Singapore. Go there in the evening when all the Supergrove trees are lighted up.,,
,,Great but busy,4,,Great place but mega big queues for h cloud forest experience and so make sure you book well in advance The huge trees are amazing and free to see but so worth it,,
,,A Must Do when in Singapore,4,,"Go in the afternoon and stay until the evening to watch the FREE light and music show, if its too hot pop into the Cloud Forest Dome to cool off, worth every Dollar.",,
