id,uid,title,score,date,content,,,
,,A 15min slow ride if you have time.,3,,It a super slow ride for you to slowly enjoy the view at marina area. Best to take the ride at night. not too hot.,,,
,,See the skyline and city from the top,4,,"The queue is long during tourist season, as a local, we choose a weekday and the best time to take the ride is just about dusk, so come at around 6 to 6.30 to get the best timing and cabin. The cabin size is about a bus size, no toilet, so please empty your bowels or bring your own drinks.
The ride take about 30 to 40 mins, depending on if they stop for wheelchair bound visitor. But it's best you visit singapore and the surrounding area first, then you get to identify some landmark at the top, instead of just ""nice scenery"" feel. Romantic only if no one else share the cabin with you, else people will be moving around inside to take photos here and there.",,,
,,the best flyer ever,5,,"Went there twice, both in morning. The view was nice and touching. be sure to take a camera. has air-conditioner. can have a decent breakfast after getting off the flyer.",,,
,,Great view of the city.,5,,This was fantastic. $ 33 for 30 minutes which is enough time to see the whole city. Gives a great overview.,,,
,,Why?,1,,"If you want to see the skylights of Singapore, there are many ways to do it. You can enjoy the view With a cocktail drink at many cafes dotted around the Marina Bay. Why go to a flyer? Not only it is expensive, it is boring experience.",,,
,,Awesome - Must do,5,,Get a 360 degree view of Singapore. We did it in noon but i thing evenings would be more enjoyable. Would definitely like to do it again in the evenings / night when the lights are on.,,,
,,best sunset activity in Singapore,5,,"The Singapore Flyer is by far the best sunset activity in Singapore. you have the best view of the city, chance to take some breathtaking pictures, and if your a photo bug you will appreciate the perfect lighting and subtle changes in lighting that occur over the entire skyline.",,,
,,Great views of Singapore from different angle,5,,"I enjoyed the flyer, it offers nice views, there was no line anywhere and everything worked very well, fast entry and exit, fast security, etc. really liked the nearby food market on the ground level",,,
,,Singapore 360,5,,"Don't miss this flyer on your Singapore trip. On a clear sunny day, this flyer gives you a great 360 degree view of Singapore. If you are carrying a good pair of binoculars then you can ever see the Malaysian coast.",,,
,,Lovely experience,4,,We enjoyed 30-minute ride very much. We did not know that this is the tallest of the panoramic wheels in the world. There were no lines at the entrance. Admission is 33 sgd.,,,
,,To get the best view of Singapore skyline,3,,To have a best view of both day and night. Try to reach there by 05:00 PM. You will have both view of day and night.,,,
,,Beautiful view,4,,"The view from up there is really amazing. It's beautiful. As a couple's visit there were others in the cabin alongside us, not the most private or romantic of setting thou and we were just waiting for the round to finish. Would recommend to go with families and children. Moves really slow, gets abit of a drag eventually.",,,
,,Fun....but not worth the wait,3,,"The views when we visited were limited, but upon completion of the casino and botanical gardens...it's probably wonderful!",,,
,,Views are amazing,5,,"Taller than the London Eye and just as spectacular. The views across Singapore were stunning. We went early on in the morning and there were no queues at all. Just 6 in our pod and it was a very smooth, quiet ride. We had pre booked but you could have got a ticket on the day. Set in a pretty tropical garden. Several food outlets around perimeter. People are going up the Marina Bay Sands tower instead as no charge but you get a much better experience from the flyer.",,,
,,Must do for families,4,,The Singapore Flyer is one attraction where you get some amazing views of the city. The capsules are clean and spacious and easily accommodates about 20 people. I recommend you to visit Flyer during weekdays to avoid long queues and crowded capsules.,,,
,,Bird's eye view of Singapore,3,,"The flyer moves VERY slowly, so you don't really feel the movement. Not as scary as it looks. It is air-conditioned and there is a long bench inside each capsule, so it is comfortable. You get an excellent view of Singapore and out over the sea towards Indonesia. It is best to go on a clear day so that you can really see things well. There is a gift shop, a reflexology shop, various eateries. It is not an exciting venue, but does give a view of the city as a whole.",,,
,,A relaxing slow view of Singapore and beyond,4,,Singapore flyer doesn't work when there is thunder in the clouds so we couldn't go the day we planned but didn't want to miss it so we went some other day. As we had already visited the garden bay and flower dome we could relate the where and what we were seeing. Flyer is quite huge and moves slowly giving you almost 360 view. on one side you have the sea view and other side the city view. It was nice and sure one must visit for first timers.,,,
,,Great experience,4,,"I visited and after a long walk at marina bay, this was totally relaxing. Nice air condition plus enjoying the city view.",,,
,,Thrilling,4,,"You get very good aerial views of Singapore. As it was not very busy on the day we visited, we got the whole pod to our selves. Well worth a ride.",,,
,,Stunning Views,5,,"This was excellent, 100feet higher than the london eye and cheaper !!! Don't miss it...In the morning there can be long queues but I went about 11:30 and only had to wait about 10 minutes.",,,
,,Timed perfectly to see light shows at Gardens by the Bay and Marina Bay Sands,5,,We impulsively decided to go to the Singapore Flyer after 7:30pm on a Monday night. There was next to no queue (15 people in front of us) so we were on board by 7:50pm which meant we had prime viewing of the light shows at Gardens by the Bay and Marina Bay Sands. Highly recommend!,,,
,,1 round,5,,"Its a must go, really a different experience. Night is time where you see all of Singapore lit up. Enjoyed very moment.",,,
,,Wonderful Experience,5,,The total time taken for a revolution was around 40 minutes. It rotates non-stop. Can have nice view when you are on Top. Recommend to feel this experience for the Tourists.,,,
,,A Must!,5,,The Singapore flyer is iconic and worth the fare to see Singapore from a different perspective! We went at night and loved it. Great for kids!,,,
,,Great views,5,,"The singapore flyer is a good way to see the skyline of the city,being the second tallest I the world, not very busy in March, but would think later in the year that it would get packed.",,,
,,"Great view at sunset, but so are many hotels in the area",4,,"great experience. no queues, slow and comfortable ride. good for relaxation after a walk in the park on the other side of the river. We did not try food as it looked to touristic, but it might be good for a bite. not a must if you are on short visit.",,,
,,Not a bad spot,3,,The Flyer has definitely shown some improvements since the last I came so it is not a bad place to visit to have a nice relaxing weekend with the family as they have a variety of food for everyone.,,,
,,Great to see Singapore at night,5,,"Did this after dinner and turned up to buy a ticket at 9:45 pm on a weekend there was no que.

We had a gondola all to ourselves (there were 5 of us)

Breathtaking views of a breathtaking modern city. There is so much more you don't appreciate about the architecture of Singapore that you see from a higher level.

Two ten year old boys loved it and we're not bored at all.",,,
,,"""Loved it""",5,,My girlfriend and I had a great time riding the Flyer. We had a car all to ourselves and we took a lot of pictures. The price was good and the view of the city was excellent! Would recommend it to anyone going to Singapore.,,,
,,Great views on a clear day,5,,"We really enjoyed our trip. We were a little worried about the possible queues as it was a Saturday when we visited, however we walked straight on and only had to share with another couple which was good as we could take photos for each other.
The views of Singapore are fantastic form the flyer, we had an enjoyable ride.",,,
,,A Relaxing way to view Singapore,5,,Excellent attraction. Not cheap but worth it. Easy to reach from the MRT and close to the Gardens by the Bay so they make a good days combination visit,,,
,,Great at night,4,,"Any visit to Singapore requires a visit to the Flyer, the world's second-tallest observation wheel, for great city views both day and night. We caught it on a Wednesday around 8pm. Finding a ticket booth was pretty difficult, however. Additionally, unbeknownst to anyone in our long line at the solitary open booth, there was a sales desk immediately adjacent where tickets could be purchased as well.

Still, the views were worth the difficulty finding the tickets for it. The clear capsules allowed for excellent visibility of the cityscape, and we lucked into what appeared to be laser light show on the Science Building and Marina Bay Sands. The interior map is helpful, with English subtitles as well.",,,
,,Lovely view,5,,A memorable experience and a must do in Singapore! Overpriced a bit like many other attractions in Singapore but must say was well worth it. Best time is a little before sunset but do not go when it's dark !,,,
,,Can't be missed!,5,,Soaring high above Marina Bay this experience is not to be missed. The views are unparalleled. Breathtaking 40 minutes that acclimate you to the city spread out before you. Stunning view of the Marina Bay Sands building as well as the harbor.,,,
,,Great way to view the city,5,,The flyer is well worth a visit and provides a birds eye view of the city. it lasts 30mins and the photo opportunities are excellent. A must-do!,,,
,,Super cool experience!!,4,,"I visited Singapore flyer with my family and it was an awesome experience.You get beautiful views of the city and its a fun ride !! We went on a weekday and it wasn't much crowded,so we got a cabin for ourselves.The ride takes some 40minutes to finish and its indeed memorable!!",,,
,,Lovely leisurely time to see Singapore,5,,"Being a little afraid of heights, this wasn't on my To Do list for Singapore, but when the Hop On/Hop Off bus stopped here, it was a spur of the minute decision to just do it!!

So pleased that I did .. what a wonderful experience. I was lucky enough to share the cabin with only six other people so plenty of room to move around and also to take photos of me :-)

It takes around 45 mins and the time passed quickly taking in the 360-degree views.

Definitely recommend it.

One note was that the recorded message on the Hop On/Hop Off bus stated that a discount for ticket holders was available. I was informed that this ended at the beginning of March (I was there on the 10th).",,,
,,Good experience,4,,We went to flyer and the view is very good. It is good 30 minutes view of Singapore along the marina Bay. Garden by the bay is also very near to the flyer so if you want you can plan both together,,,
,,Stunning Views of Modern Singapore,5,,"The Singapore Flyer is worth every cent of the entrance fee. The ride is a slow circle with magnificent views of modern Singapore. I am not comfortable with heights, but the construction of the cars is so solid that the experience is more like flying than looking down from a great height. I can recommend this ride to all visitors to Singapore",,,
,,Birds eye View,4,,"Great to see how Singapore is set out, we enjoyed this as it was my first ""flyer/eye"" experience. Be prepared to stand for awhile if there is a que.",,,
,,A must do!,5,,The view and experience are a definite must. The flyer gives you plenty of time to see and discover so much about the city and helped us make some plans as to what we wanted to visit next. Very clean and safe. Able to move around in the car and take pictures.,,,
,,The Big Wheel,5,,"Spend 35 mins on the flyer to great a great view of Singapore. You can pick out places such as Clarke Quay, Boat Quay and Marina Bay Sands Skypark and many more. Well worth a visit.",,,
,,Good Visit,4,,"The attraction was great, and the various bits and pieces of information was great as it gave you an insight of the Singapore Flier.

We were lucky enough to get in a pod to ourselves, and the views are fantastic! The only issue I had would be that it was extremely slow - took 40 minutes just to get around it. Could also benefit from a tape being recorded telling you more about the different places you can see when in the Flier.

Overall I had a great time, but could have been a bit faster and could be more informative in the little pod.",,,
,,Great experience,4,,We bought tickets on the day but found out you could get it cheaper from agents or online later. The experience was great. You get to see the best of Singapore from on high.,,,
,,Beautiful Singapore under Your Feet,5,,"I have height phobia, however, taking Singapore Flyer was a great experience for someone like me. I enjoyed it tremendously...panoramic view of beautiful city. Though the queue to take the ride was long, it only took a short while of waiting for our turn. A must to visit for all travels.",,,
,,First Time Trying,4,,very breathaking experience. we can see all singapore area. but it will be beautiful if you take ride at night.,,,
,,Seeing Singapore,3,,"Night time viewing was cool. The lights were pretty and we were only other couple and 1more single person. So it was great that they didn't over crowd it. There was plenty of space to really absorb Singapore. The walkthrough which takes place prior to boarding was a bit of a nothing event.
Unfortunately, the staff who are in and around that complex are so unhelpful and unfriendly. I dislike leaving 'average' reviews but this was just that, average.",,,
,,Ride the flyer,5,,"This is a once and a life time ride. It takes about 45 minutes to go around but well worth it. The views are unbelievable and at night, well you just have to see it! A must see thing to do here!",,,
,,Great views,4,,We visited on a clear sunny days. I took lots of photos through the glass they came out great with no reflection problems. Our pod only had 6 of us.,,,
,,Singapore Flyer,4,,"We went at 18:00 just when it was getting darker and the views were awesome ,it's an inexpensive tour and well worth doing we walked to it from the Pan Pacific Hotel 20-25 mins.",,,
,,"Great view, but overpriced.",3,,"ITS like most of the places in Singapore. Expensive, but worth doing. If you can mis 33 s$ for a 30 min ride. You'll Get a nice view in return",,,
,,great view,3,,"view from top is best. but no need to spend more as you can get same view from marina sands hotel, which is higher then flyer. but interesting to do it once. if you are in group, then you get whole flyer cabin to yourself. you can skip and save money and instead go to marina sands rooftop.",,,
,,Not for the faint hearted,5,,I dont do heights and should have never gone on this ride. In saying that though my family loved it and couldnt get enough photos. Could see for miles and takes half an hour to do a full turn.,,,
,,"Nice view, but super slow.",3,,"It lasts about 30 min. to finish it. Sure the view is nice from the top, but it is so, so, so slow to get back down after you have seen the view.",,,
,,"must try it , splendid view",4,,"what a breath taking view !! the seating cabins are very spacious and we watched it during day time and still we loved it. so am sure watching the Singapore skyline at sunset or after dark , will be amazing.
must visit this if you have time on hand.",,,
,,One of the Best Views of the Island on a clear day,4,,"Excellent views on a clear day - little or no queuing - not crowded, interesting museum fairly priced. Takes around 40 minutes - allow a couple of hours to see the exhibits in the museum. What more can I add?",,,
,,Amazing!!,5,,"Gobsmackingly WOW!!
Buy your ticket in the afternoon, as your ticket is valid up till 10pm that day (ticket booth is closed in the eve.) Then in the evening, go back and enjoy the fabulous choice of streetfood below the giant Ferris wheel before you get on board the pod. We had a pod completely to ourselves and the night time scenery is totally awesome!! Wait till you get to the VERY top before you start taking photos - so that the wheel structure doesn't blot the pics....but even the magnificent structure is photogenic!! Think of the London Eye then double the size and quadruple the viewing experience. The ride takes a wonderful 30 minutes.",,,
,,Nice view,3,,"It rotates quite slowly so you get plenty of time to see the area. It goes around only once, so take it all in.",,,
,,Very good experience,4,,It was very easy reach here by a metro.. Tickets were very easily available ... View from the Singapore flyer was amazing but it is still not as great as London eye..,,,
,,Beautiful views.,3,,I went on this attraction eight years ago when it first opened and feel that not much has happened their since. The views are great but the shops need a revamp. While there I tried the Chicken rice at the local restaurant and it was divine.,,,
,,Wow ... Best flyer in the world!,5,,"I've tried Hong Kong and London eye. This for me is the best. We were lucky we got the capsule all to ourselves and just had a splendid time looking at the beauty of Singapore. 30 mins of non stop taking photos, memories that will last a life time. Try it :-)",,,
,,Very Exciting and Possibly the largest wheel in world,5,,"we visited this in March 2015. Nominal ticket to board. It moves at a very low pace and takes half an hour to complete one revolution. View from the top is very beautiful.
Must take ride.",,,
,,""" What A View """,5,,"Amazing - the view is breathtaking.
Moves so slow you don't realise you are moving.
Take your camera for some great photos.
Easy to get on & off - suitable for wheelchairs.",,,
,,Really nice light up at night ... a true site to behold!!,4,,"Really nice light up at night ... a true site to behold!!

Walked around it one night on our trip in Singapore ... quite nice to see at night.",,,
,,Lovely,4,,"This was great.
You can look over the grand prix circuit and pitlane. You have superb views Marina Bay. Well worth a visit especially at grand prix time.",,,
,,Great Experience,4,,"Going on the Singapore Flyer was a great experience for me. I had a slight panic attack due to my fear of height once. But the slow speed and comfortable carriage reduced my fear considerably. Unfortunately, it still dissuaded me to enjoy the view from the glass walls. I remained seated the whole time. My husband and daughter, however, enjoyed the ride and views immensely.

Other than my fear, I would say this is a thoroughly enjoyable experience. We went at 8.30PM and there's no line at all.",,,
,,"After dark, reflections do spoil the view",5,,"We went late evening, about 9.30pm. No queues, but while the views were good, we were constantly aware of reflections of the flashing lights that illuminate the Flyer. They were intrusive. I have been on this ride several times, and I think you get the best experience during daytime or at dusk, no later.
You have to step on and off the car while it鈥檚 moving. The staff are well aware that this can be difficult for the elderly, and gave both of us help. However I don鈥檛 think it鈥檚 suitable for wheelchairs, as there鈥檚 a bit of a step when boarding. But do check with the staff if that鈥檚 a problem for you, as there may be a solution.
There are toilets after the pre-ride exhibition (but before the queue, if any) and when you leave the ride, and of course plenty of toilets in the Flyer building. The exhibition is moderately interesting, if you have time to look at it.
The Flyer is hard to reach by bus or MRT,The closest bus stop is Opposite Ritz Carlton on the road to Marina Bay Sands. in any case expect a 5 minute or longer walk. However there is a bus stop immediately outside when you want to leave (it鈥檚 the terminus, bus routes only start from it).
It鈥檚 a great experience, but you don鈥檛 get that long to enjoy the views. Even so, I always enjoy it.",,,
,,Spectacular views over Singapore.,5,,"Th is the tallest flyer in the world. Views are spectacular, particular towards the end of the day with clear sky and beautiful sunset. Plenty photo opportunities while in the air.",,,
,,Iconic place in Singapore,5,,"Being the largest observation wheel in the world for many years, unfortunatly now it losts it's title and popularity. But it is still on of the iconic places and greeting cards in Singapore.
Seating in comfortable and airconed capsule, It gives the amazing 360掳 view of the Singapore and strait.
Highly recommended to visit at least once",,,
,,Amazing city views,4,,Best way to see how big this city really is. Great for taking many pictures. It's air conditioned & takes a about half an hour to complete the full rotation.,,,
,,Holidays,5,,Very good experience lovely views all over Singapore. It is higher than the one in London. If you have a boarding pass it is worth taking with you as you get 10 percent reduction.,,,
,,Amazing views,5,,Great experience and exceptional views! This is a must see we we during the day however I think evening would be beautiful as well. These cars are huge so anyone afraid of confined areas will be okay.,,,
,,"Average, but interesting",3,,"This attraction in Singapore is interesting because it offers a bird's eye view of Singapore. You could see Marina Bay Sands, the F1 circuit, Gardens by the Bay, and a lot of vessels at sea. Nothing more. It's better to buy tickets online because you could go straight to the loading area upon arrival.",,,
,,One good ride,4,,"It is one of the better places to spend your money in Singapore. It is very well managed and the experience of flying in a glass capsule with a mesmerizing view around is breath taking. Since I have been in London Eye which is exactly same concept, so it was not that exciting but I would strongly recommend it to those who haven't been in one before.",,,
,,view singapore 360 but slow!,3,,if you want to see view around singapore suggest to use it! but you have to spend time with it 30 minute for one times and you have to pay money too. suggest to buy ticket at sea wheel it will be safe cost,,,
,,On a clear day you can see forever.,5,,It was not busy at 10am so we had a whole cabin by ourselves. What a wonderful way to see Singapore. We felt so good we brought all the pictures they took of us.,,,
,,Unbeleiveable,5,,"As a person hating heights why I stated we were going to go on the flyer is still a mystery. Even after paying the entry fee I was having doubts. Walking up to the flyer noticed that it is continually in motion getting on from the left and alighting on the right. Once aboard and rising the view around was fantastic. I had a wobble as we neared the apex and then was okay. Any regrets? non whatsoever, this is a must visit.",,,
,,Lifetime experience !!!,5,,"Truly a lifetime experience while we went there for the ride. We were five in number and I personally have experienced this ride that will be in my memory for lifetime.. Awesome view of the city, awesome technology and of course a mind blowing bird's eye view of the city. Thanks to the govt for an astonishing brilliant idea to give this opportunity to experience the scenic beauty of Singapore...",,,
,,Take your binoculars!,5,,"It's big, the views are outstanding but allow a couple of hours for the whole experience, camera, binoculars & water are all necessary",,,
,,Must visit,5,,"This one is claimed to be the largest in the world. One round takes about 40 minutes. If you manage to visit and ride around sunset then you can enjoy city in daylight as well as night.

You can enjoy local street food of good quality at cheap rate. Thus, you can combine the ride with dinner and enjoy sumptuous Singapore cuisine.

This offers magnificent view of Singapore. Must visit.",,,
,,Fabulous views,4,,Visited the Singapore Flyer for a flight recently whilst on holiday. Super experience with very good views of Marina Bay Sands and Gardens by the Bay. Slightly surprised at how quiet it was when we visited - had a gondola to ourselves. Very worthwhile and would recommend.,,,
,,Breathtaking,5,,"On a clear weather one can see Malaysia (johor bahru) at one end and Indonesia on the other end. Fantastic! Isn't it? Well managed experience. Though many tourists visit Flyer, there is less waiting time.",,,
,,average,3,,"I did flyer in feb around 12 pm ,i dont like it much as it goes very very slow view is also so so ,maybe in night is good but again speed could have been one point where they can improve",,,
,,Second Tallest flyer of the world after the london eye.,4,,We were six pax enjoyed the flyer on 6th march 2016.. very much slow.. it took 30 minutes to reach the floor.. 550 mtrs hight.. 360 degree view of singapore city and gardens by the bay... little costly.. one suggestion: if you are staying in Marina bay sands... no need to give this a try... as Marina bay has itself a superb view of all singapore city from sky deck as well infinity pool(pool only for guest of the hotel),,,
,,great way to sight see,4,,"very enjoyable,a must if you are visiting singapore a nice slow ride so you have heaps of time to take in the sights.we came at a good time of the year (march) so it wasn't busy and there was a lot of space to move around",,,
,,Peaceful views of the City,5,,"One rotation takes about 30 minutes so relax in the peaceful pod and enjoy the views, which are quite stunning. It's well located so easy to get too. We walked over the helical bridge from the Cloud Forest in few minutes, which was a pleasure in itself. There was no waiting time and as is everything in Singapore, very well maintained and smooth running. It looks great at night too.",,,
,,Not that great,4,,It was worth one time visit only . We entered the flyer around 7.00 pm which is the best time to be there as one can enjoy both the sunset as well as Singapore in lights. View from flyer was great,,,
,,A bit of a walk aside from taking a taxi.,3,,"A bit of a walk if you decide not to take the taxi from the nearest MRT. Signs are not really clear, it took us several times to go around, up and down before we find the ticket booth. A nice 360 view of the city is nice. But that was just it for 33SGD per person.",,,
,,Advanced marry go round,5,,It is a advanced marry go round - airconditioned with advance technology. U get a good view of some of the places of singapore. Nothing great.,,,
,,Good city view,4,,"Classic view of the city. Very touristic, because it offers a nice view of the city, especially in the evening",,,
,,Supper Flyer,5,,Flyer is a giant Ferris wheel in Singapore. It is quite slow at first sight. But its Really Very much Amazing.n Superrrb.,,,
,,Never thought it was sooooo great,5,,"""Not for me"", I always thought..until I went onto the Singapore Flyer for a business trip. It's a great way to have unrivalled views over the city in a tranquil and luxurious way. The sunset, a glass of champagne and some live music made it a memorable experience.",,,
,,Eye to singapore,4,,This is a nice point to enjoy the complete view of Singapore from the height.Amazing view of islands and sky scrapper in the city.,,,
,,Excellent all in one skyhigh tour!,4,,"at 28SGD per person, this 30 min ride is full of beautiful sights and visuals. it gives a birds eye view of magnificent marina bay and Singapore business district and the city. you can see the formula one pits.
Its worth the money spent and both day time and night time view",,,
,,Fantastic,5,,"A must-do attraction in Singapore. Amazing views of a fantastic city. Great photos can be taken of the skyscrapers, Marina Sands and parts of the Formula 1 circuit. The Flyer just looks great also.",,,
,,Great views,5,,"Bigger than the London Eye, the Flyer offers wonderful views of Singapore for a price in line with similar attractions in other cities. We were lucky to join when not busy & got a pod to ourselves. Got some great pictures. Thoroughly enjoyable.",,,
,,Best view in the city,4,,Enjoy a leisurely ride in the flyer. Get the best view of the Singapore skyline. Do it in the evenings only.,,,
,,Champagne Ride in Private Car,5,,"My partner and I purchased tickets for the champagne ride on the flyer. It was wonderful! We ended up with a private car. Our ride was in the late afternoon at about 4 pm. The champagne and chocolates were great and having a private car really made the experience. A word of caution though, I'm not sure if we would've felt the same if we hadn't had that unexpected perk, since the price is quite a bit higher for the champagne ride.",,,
,,Breathtaking View,5,,Must see attraction in Singapore. Amazing view of islands and sky scrapper in the city. Decently priced.,,,
,,Ultimate Flyer Experience,5,,It was our first tourist spot. The scenic beauty is amazing. There are many restaurants and street style spots also. Must visit for all tourists.,,,
,,super value for money,5,,visited during the week as no queues. even got our own capsule. stunning views of the city during the day. would be even more impressive in the evening when light show is on. below flyer is hawkers food which is true traditional food great quality and cheap.,,,
,,to get the best view of singapore,5,,go around 7.00 - 8.00 pm for the nice view of singapore....u can see sunset at your west side and is amazing .,,,
,,Awesome,5,,"I am not one for heights, but this trip is unmissable! The flyer takes approximately 30 minutes and goes so slowly you do not realise you are moving and by the time you reach the top the views are so breathtaking you forget how high you are (at least I did) .definitely worth the 33dollars per person (approx 16拢 at today's rates)",,,
,,Great view,5,,"The best time to visit is during night when city is in lights. We walked there from Marina Bay.
The price 33$ might be too high for some but for us it was worth it and we had the condula all for ourselves, just the two of us.",,,
,,I enjoyed the ride,5,,Very good concept. one more angle to view the scenic Marina Bay. Very well built and maintained. Better to go in the evening or night time.,,,
,,Ok for one time !,4,,Visited Singapore Flyer. Ok for one time. Just to cover all tourist spots in Singapore. Must for first time travelers. Good view of complete Singapore in this slow yet fun filled ride. Go for it. Enjoy !!!!,,,
,,The Flayer--LIFE TIME EXPERIENCE,5,,"We were in Singapore from 10th to 13th February 2016 on a holiday. We were 6 families. On 11th February. we boarded Singapore Flayer. Some of our members were reluctant to board because of its rotation to a height of about 164 meters But once we were in, they had the last laugh. Experience of a life time.

The Singapore Flyer is a giant Ferris wheel in Singapore. Its a just coincidence that we were in the Flayer on 11th February 2016, when we were told that the Flayer carried its first paying passengers on 11 February 2008 but was opened to the public on 1 March 2008 and was officially opened on 15 April.2008.

The Flayer has 28 air-conditioned capsules, each able to accommodate 28 passengers As we were 12 members, we occupied a separate Capsule and enjoyed every minute of our stay inside the capsule. It was fantastic as we could see the entire City of Singapore from all angles and from all directions. We played, we laughted and enjoyed to the maximum extent.

Though the Flayer was moving, we never felt the rotation and we were so immersed in viewing the beautiful buildings and the beach No doubt, Its worth the money

This is much safe even for senior citizens as much care is taken in evolving the flayer and the capsule.",,,
,,"SF is not as good as SQ, but pretty fun",4,,"Along with the Marina Bay Sands Skypark, this is one of better ways to view Singapore from above, plus you get the fun of the motion, and the view of MBS itself! Evening flight is more impressive than day flight. Not easy to get to by public transport.",,,
,,Singapore Flyer,3,,Must go on bright sunny day time or clear night. However the prices are bit high compare to the experience we get,,,
,,wonderful attraction and exceptionally fun for children,5,,this place is very exciting to children and enjoying high top view around Marina Bay. Feel safe and convenience with widely capsule. Night time would be great with light and laser from buildings surrounded.,,,
,,A Must!!,5,,"If you have done the London Eye or similar attractions in other cities you will like the Flyer. Great views of the ships anchored in the bay - Marina Bay Sands - Gardens by the Bay, etc. Worth the time and the money.",,,
,,Viewing point...Feris wheel,4,,"One of the better things to do,takes you high up its a 30 min ride goes really slow you will be able to see most of the singapore, On a clear day can also view till batam indonesia.One of the must do activity and it costs like SGD 35 and worth visiting once especially if you love to take pictures.BTW...you can have dinner arranged in the capsule probably costs around SGD 300 per person and there are couple of restaurants on second level,one indian restaurant by name of tandoor is a good one...ideal time to visit is probably 5-6pm.",,,
,,Superb for 33 S $,5,,Very good indeed and straight on unlike the monstrous queues in London. Sensational views and clearer than London. Good value. We used the 24 hrs hop on and hop off bus that took us all round the best sites in Singapore. This is from the Tourist main office in Orchard Road,,,
,,A must see,5,,"This was fun. What a view. We did this on our own and really enjoyed the views. If you want some beautiful skyline photos, this is it.",,,
,,Whole Singapore City Can Be Seen From The Top,5,,The Singapore Flyer Is One Of The Biggest High Flyer In The World..If Looks Awesome From Outside As Well As From Inside...Great View Of The Whole Singapore City..One Must Definitely Go If You Visit Singapore..,,,
,,Standing around in a circle for half an hour!,4,,"The Flyer is apparently the biggest one of it's kind in the world - and it's really impressive! It never stops - you even get on & off while it's moving (although it is slowly). Great views of Marina Bay, the Singapore CBD, the breath-taking Marina Bay Sands Hotel as well as out to sea. Well worth it for the fantastic photo's. Go just before sunset (around 1830) so get daytime & night-time views...",,,
,,Amazing View,5,,Exhilarating view. Had a great time viewing the modern landscape of Singapore. Recommended only if you have time to spare.,,,
,,Family Adventure,5,,Booked the Singapore Flyer before we arrived so we missed the queue. Great view of the city while the sun went down.,,,
,,Don't waste your money on Dinner,2,,"The view is fine, but the food was cafeteria quality. Also. the wine and champagne was extraordinarily over priced. We paid &150.00 for a bottle of Veuve Clicquot which you can buy at Binnys for under $60.00. They did not provide you with napkins for dinner. I had to use pocket tissue.
Also, to add insult to injury, the rotation was too short for dinner. You were rushed to finish dinner before the rotation was completed. This was by far the worst expensive dinning experience that I have ever had.",,,
,,If you can't go to London why not ride it here!,4,,The view was definitely worth the wait to reach the TOP of the flyer.The commentary gave good information for locals and tourist. The kids could not get enough of it and wanted another round.,,,
,,Night Time view,5,,"Excellent view of Bay, Marina Bay Sands, Gardens by the Bay, Grand Prix Circuit and so much more. Well worth the cost to ride on the Flyer",,,
,,Fly over the city,5,,This ferris wheel can't be missed! It gives spectacular view of the Marina Bay! The whole ride is about 30 mins and moves so slow you don't feel anything! Only 10 people in a cabin it's really cozy and no one is blocking the view for a long time. You can go day or night you'll see a beautiful skyline. The queue moved fast so don't be afraid if a lot of people before you.,,,
,,so much to see from a totally different perspective,5,,Not particularly expensive but certainly worth the time. Looking at the city from this height is amazing,,,
,,Up up and away,5,,"This is a must! You get Singapore from a birdseye wiew! It is very well kept and feels nice, clean and safe. You get a good look of the harbour and the city!",,,
,,Best views of Singapore skyline,5,,Amazing breathtaking views of Singapore and sea. Please visit on clear sunny days. It takes 30 mins to complete the whole circle. Must visit if you are in Singapore.,,,
,,Champagne Flight,4,,Me and my fianc茅e got engaged a couple days before riding. We booked a champagne flight at night. When we got there to our delight we were the only ones to book the champagne flight so have to whole capsule to ourselves. Surreal experience especially as it normally cost 拢1000 to have your own. Stunning city scape views.,,,
,,Enjoy those 30 mins,5,,This is a good start for your trip in Singapore. It takes 30 minutes in the air and while in the capsule you can take pics and relax as you enjoy the view from the sky. Recommended if you have not been to The London eye.,,,
,,Beautiful yet horrific if you are afraid of heights,5,,"Oh My God it does go too high but once you are there the view is amazing.
After been to Singapore for 7 times I had to do it.
It is very safe so you don't be afraid unless if you are afraid of his",,,
,,Not Bad!,5,,"So I allowed myself to be convinced to go on the big Ferris Wheel one night. A bit too touristy for my liking generally, but I have to say it was good. Amazing views. Not sure what it would be like during the day, but a night ride was spectacular. Good value for money. Well worth doing. Oh good gift shop as you exit - quality items, not tool overpriced.",,,
,,Beautiful view of singapore,3,,"Kind of costly for a ride to see the city; but I'd still recommend it. We went in the morning, but I guess the night view is better :)",,,
,,It's a good experience,4,,...........it's a good experience ... only one time visit... it be good to book tickets from tourist agent ..................instead of booking online.....................................................,,,
